question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,difficulty
What is Moksha?,Liberation from samsara,Material wealth,Political power,Fame and recognition,A,"Moksha means liberation from samsara, the cycle of death and rebirth. It is the ultimate spiritual goal in Vedantic philosophy.",Core Concepts,Beginner
What does Dharma represent?,Selfish desires,Righteous duty and moral law,Material possessions,Physical strength,B,"Dharma represents righteous duty and moral law that governs ethical conduct and righteous living according to one's nature and circumstances.",Ethics,Beginner
What is the meaning of Atman?,Temporary personality,Physical body,Eternal soul/true Self,Mental thoughts,C,"Atman is the eternal soul, the true Self that is beyond the physical body and mind. It is the unchanging essence of every individual.",Core Concepts,Beginner
What is Brahman in Vedantic philosophy?,Personal deity,Ultimate reality/cosmic consciousness,Sacred ritual,Holy scripture,B,"Brahman is the ultimate reality, the cosmic consciousness that pervades everything. It is the source and essence of all existence.",Core Concepts,Intermediate
What does Karma refer to?,Ritual worship,Law of cause and effect,Sacred mantra,Physical exercise,B,"Karma refers to the law of cause and effect governing actions and their consequences. Every action creates impressions that influence future experiences.",Ethics,Beginner
What is Samsara?,Meditation technique,Cycle of birth-death-rebirth,Sacred text,Temple ritual,B,"Samsara is the cycle of birth, death, and rebirth that souls experience until liberation. It represents the material world of constant change.",Core Concepts,Intermediate
What does Maya represent?,Divine love,Physical strength,Illusory nature of material world,Sacred sound,C,"Maya represents the illusory nature of the material world that veils the true reality of Brahman, creating appearance of separation.",Core Concepts,Advanced
Who is a Guru?,Temple priest,Spiritual teacher and guide,Royal ruler,Wealthy merchant,B,"A Guru is a spiritual teacher who guides disciples on the path of self-realization, removing darkness of ignorance with light of knowledge.",Practices,Beginner
What is Sadhana?,Business transaction,Spiritual practice/discipline,Political activity,Social gathering,B,"Sadhana is spiritual practice or discipline undertaken to achieve self-realization, including meditation, study, devotion, and ethical conduct.",Practices,Beginner
What does Ahimsa mean?,Ritual sacrifice,Non-violence in thought-word-deed,Competitive fighting,Material accumulation,B,"Ahimsa means non-violence in thought, word, and deed, extending to all living beings as the highest form of compassion.",Ethics,Beginner
What is Tapas?,Casual living,Austerity and spiritual discipline,Entertainment activity,Commercial trade,B,"Tapas is austerity and disciplined spiritual practice that purifies mind and body, developing inner strength and spiritual power.",Practices,Intermediate
What is Samadhi?,Ordinary sleep,Highest state of consciousness,Physical exercise,Social celebration,B,"Samadhi is the highest state of consciousness where individual self merges with universal consciousness - the goal of meditation.",Practices,Advanced
What is Pranayama?,Food preparation,Control of breath and life force,Musical performance,Artistic creation,B,"Pranayama is control of breath and life force energy, a yogic practice that calms the mind and prepares for meditation.",Practices,Intermediate
What does Vedanta teach?,Material success,Unity of Atman with Brahman,Political governance,Economic principles,B,"Vedanta teaches the unity of individual soul (Atman) with universal consciousness (Brahman) based on Upanishadic wisdom.",Core Concepts,Advanced
What are Upanishads?,Historical chronicles,Ancient philosophical texts,Political documents,Commercial records,B,"Upanishads are ancient philosophical texts forming the foundation of Vedantic teaching, revealing deepest spiritual truths.",Core Concepts,Intermediate
